;n;hit;total;percent
0;0;639;800;0.79875
1;1;628;800;0.785
2;2;633;800;0.79125
3;3;639;800;0.79875
4;4;625;800;0.78125
5;5;604;800;0.755
6;6;635;800;0.79375
7;7;616;800;0.77
8;8;629;800;0.78625
9;9;624;800;0.78
10;10;617;800;0.77125
11;11;636;800;0.795
12;12;646;800;0.8075
13;13;617;800;0.77125
14;14;624;800;0.78
15;15;616;800;0.77
16;16;647;800;0.80875
17;17;608;800;0.76
18;18;608;800;0.76
19;19;660;800;0.825
20;20;646;800;0.8075
21;21;627;800;0.78375
22;22;628;800;0.785
23;23;634;800;0.7925
24;24;626;800;0.7825
25;25;650;800;0.8125
26;26;634;800;0.7925
27;27;630;800;0.7875
28;28;648;800;0.81
29;29;643;800;0.80375
