;n;label;hit;total;percent
0;0;1;24.0;32.0;0.75
1;0;2;28.0;31.0;0.9032258064516129
2;0;3;32.0;34.0;0.9411764705882353
3;0;4;26.0;27.0;0.9629629629629629
4;0;5;22.0;25.0;0.88
5;0;6;19.0;22.0;0.8636363636363636
6;0;7;15.0;23.0;0.6521739130434783
7;0;8;26.0;27.0;0.9629629629629629
8;0;9;21.0;23.0;0.9130434782608695
9;0;B;32.0;34.0;0.9411764705882353
10;0;C;30.0;31.0;0.967741935483871
11;0;D;22.0;24.0;0.9166666666666666
12;0;F;22.0;22.0;1.0
13;0;G;33.0;34.0;0.9705882352941176
14;0;H;25.0;29.0;0.8620689655172413
15;0;J;26.0;27.0;0.9629629629629629
16;0;K;31.0;33.0;0.9393939393939394
17;0;L;29.0;31.0;0.9354838709677419
18;0;M;27.0;28.0;0.9642857142857143
19;0;N;32.0;35.0;0.9142857142857143
20;0;P;32.0;33.0;0.9696969696969697
21;0;R;31.0;33.0;0.9393939393939394
22;0;S;26.0;26.0;1.0
23;0;T;19.0;23.0;0.8260869565217391
24;0;V;22.0;23.0;0.9565217391304348
25;0;W;35.0;37.0;0.9459459459459459
26;0;X;23.0;25.0;0.92
27;0;Z;26.0;28.0;0.9285714285714286
28;1;1;23.0;33.0;0.696969696969697
29;1;2;26.0;32.0;0.8125
30;1;3;29.0;32.0;0.90625
31;1;4;26.0;28.0;0.9285714285714286
32;1;5;23.0;24.0;0.9583333333333334
33;1;6;23.0;27.0;0.8518518518518519
34;1;7;29.0;31.0;0.9354838709677419
35;1;8;21.0;22.0;0.9545454545454546
36;1;9;23.0;24.0;0.9583333333333334
37;1;B;20.0;22.0;0.9090909090909091
38;1;C;29.0;29.0;1.0
39;1;D;23.0;23.0;1.0
40;1;F;23.0;23.0;1.0
41;1;G;26.0;29.0;0.896551724137931
42;1;H;35.0;38.0;0.9210526315789473
43;1;J;26.0;29.0;0.896551724137931
44;1;K;29.0;33.0;0.8787878787878788
45;1;L;22.0;27.0;0.8148148148148148
46;1;M;31.0;32.0;0.96875
47;1;N;41.0;41.0;1.0
48;1;P;22.0;22.0;1.0
49;1;R;27.0;29.0;0.9310344827586207
50;1;S;29.0;29.0;1.0
51;1;T;18.0;21.0;0.8571428571428571
52;1;V;32.0;34.0;0.9411764705882353
53;1;W;30.0;33.0;0.9090909090909091
54;1;X;21.0;23.0;0.9130434782608695
55;1;Z;29.0;30.0;0.9666666666666667
56;2;1;16.0;21.0;0.7619047619047619
57;2;2;20.0;23.0;0.8695652173913043
58;2;3;34.0;36.0;0.9444444444444444
59;2;4;26.0;27.0;0.9629629629629629
60;2;5;28.0;29.0;0.9655172413793104
61;2;6;18.0;20.0;0.9
62;2;7;26.0;31.0;0.8387096774193549
63;2;8;23.0;27.0;0.8518518518518519
64;2;9;25.0;29.0;0.8620689655172413
65;2;B;31.0;32.0;0.96875
66;2;C;34.0;35.0;0.9714285714285714
67;2;D;19.0;21.0;0.9047619047619048
68;2;F;26.0;28.0;0.9285714285714286
69;2;G;26.0;26.0;1.0
70;2;H;24.0;24.0;1.0
71;2;J;27.0;28.0;0.9642857142857143
72;2;K;30.0;32.0;0.9375
73;2;L;28.0;31.0;0.9032258064516129
74;2;M;30.0;31.0;0.967741935483871
75;2;N;30.0;33.0;0.9090909090909091
76;2;P;26.0;31.0;0.8387096774193549
77;2;R;24.0;26.0;0.9230769230769231
78;2;S;27.0;29.0;0.9310344827586207
79;2;T;34.0;36.0;0.9444444444444444
80;2;V;35.0;36.0;0.9722222222222222
81;2;W;22.0;24.0;0.9166666666666666
82;2;X;22.0;25.0;0.88
83;2;Z;28.0;29.0;0.9655172413793104
84;3;1;17.0;26.0;0.6538461538461539
85;3;2;23.0;27.0;0.8518518518518519
86;3;3;29.0;32.0;0.90625
87;3;4;25.0;27.0;0.9259259259259259
88;3;5;29.0;32.0;0.90625
89;3;6;12.0;14.0;0.8571428571428571
90;3;7;30.0;34.0;0.8823529411764706
91;3;8;23.0;25.0;0.92
92;3;9;22.0;25.0;0.88
93;3;B;31.0;33.0;0.9393939393939394
94;3;C;32.0;33.0;0.9696969696969697
95;3;D;26.0;28.0;0.9285714285714286
96;3;F;22.0;23.0;0.9565217391304348
97;3;G;33.0;34.0;0.9705882352941176
98;3;H;21.0;25.0;0.84
99;3;J;21.0;24.0;0.875
100;3;K;31.0;31.0;1.0
101;3;L;25.0;28.0;0.8928571428571429
102;3;M;33.0;36.0;0.9166666666666666
103;3;N;27.0;30.0;0.9
104;3;P;24.0;25.0;0.96
105;3;R;27.0;29.0;0.9310344827586207
106;3;S;29.0;31.0;0.9354838709677419
107;3;T;28.0;31.0;0.9032258064516129
108;3;V;23.0;27.0;0.8518518518518519
109;3;W;28.0;31.0;0.9032258064516129
110;3;X;29.0;32.0;0.90625
111;3;Z;27.0;27.0;1.0
112;4;1;22.0;29.0;0.7586206896551724
113;4;2;21.0;22.0;0.9545454545454546
114;4;3;31.0;32.0;0.96875
115;4;4;26.0;28.0;0.9285714285714286
116;4;5;27.0;29.0;0.9310344827586207
117;4;6;16.0;18.0;0.8888888888888888
118;4;7;23.0;25.0;0.92
119;4;8;36.0;38.0;0.9473684210526315
120;4;9;21.0;24.0;0.875
121;4;B;29.0;31.0;0.9354838709677419
122;4;C;31.0;31.0;1.0
123;4;D;21.0;23.0;0.9130434782608695
124;4;F;27.0;30.0;0.9
125;4;G;22.0;25.0;0.88
126;4;H;30.0;32.0;0.9375
127;4;J;21.0;24.0;0.875
128;4;K;24.0;25.0;0.96
129;4;L;18.0;19.0;0.9473684210526315
130;4;M;29.0;34.0;0.8529411764705882
131;4;N;33.0;39.0;0.8461538461538461
132;4;P;26.0;30.0;0.8666666666666667
133;4;R;26.0;27.0;0.9629629629629629
134;4;S;35.0;35.0;1.0
135;4;T;32.0;35.0;0.9142857142857143
136;4;V;30.0;30.0;1.0
137;4;W;28.0;31.0;0.9032258064516129
138;4;X;21.0;24.0;0.875
139;4;Z;29.0;30.0;0.9666666666666667
140;5;1;17.0;32.0;0.53125
141;5;2;17.0;19.0;0.8947368421052632
142;5;3;31.0;33.0;0.9393939393939394
143;5;4;22.0;24.0;0.9166666666666666
144;5;5;26.0;29.0;0.896551724137931
145;5;6;22.0;26.0;0.8461538461538461
146;5;7;26.0;28.0;0.9285714285714286
147;5;8;28.0;28.0;1.0
148;5;9;23.0;24.0;0.9583333333333334
149;5;B;30.0;32.0;0.9375
150;5;C;26.0;26.0;1.0
151;5;D;19.0;24.0;0.7916666666666666
152;5;F;30.0;31.0;0.967741935483871
153;5;G;28.0;29.0;0.9655172413793104
154;5;H;28.0;30.0;0.9333333333333333
155;5;J;23.0;25.0;0.92
156;5;K;28.0;28.0;1.0
157;5;L;23.0;25.0;0.92
158;5;M;30.0;32.0;0.9375
159;5;N;35.0;43.0;0.813953488372093
160;5;P;22.0;24.0;0.9166666666666666
161;5;R;23.0;24.0;0.9583333333333334
162;5;S;26.0;27.0;0.9629629629629629
163;5;T;30.0;35.0;0.8571428571428571
164;5;V;23.0;24.0;0.9583333333333334
165;5;W;27.0;31.0;0.8709677419354839
166;5;X;35.0;39.0;0.8974358974358975
167;5;Z;28.0;28.0;1.0
168;6;1;16.0;27.0;0.5925925925925926
169;6;2;23.0;23.0;1.0
170;6;3;30.0;33.0;0.9090909090909091
