;n;label;hit;total;percent
0;0;1;14.0;26.0;0.5384615384615384
1;0;2;17.0;25.0;0.68
2;0;3;28.0;31.0;0.9032258064516129
3;0;4;22.0;28.0;0.7857142857142857
4;0;5;21.0;25.0;0.84
5;0;6;18.0;22.0;0.8181818181818182
6;0;7;20.0;25.0;0.8
7;0;8;25.0;30.0;0.8333333333333334
8;0;9;17.0;26.0;0.6538461538461539
9;0;B;34.0;39.0;0.8717948717948718
10;0;C;25.0;29.0;0.8620689655172413
11;0;D;18.0;29.0;0.6206896551724138
12;0;F;15.0;23.0;0.6521739130434783
13;0;G;31.0;31.0;1.0
14;0;H;16.0;27.0;0.5925925925925926
15;0;J;21.0;23.0;0.9130434782608695
16;0;K;23.0;28.0;0.8214285714285714
17;0;L;29.0;31.0;0.9354838709677419
18;0;M;24.0;33.0;0.7272727272727273
19;0;N;24.0;35.0;0.6857142857142857
20;0;P;28.0;28.0;1.0
21;0;R;27.0;33.0;0.8181818181818182
22;0;S;29.0;37.0;0.7837837837837838
23;0;T;20.0;27.0;0.7407407407407407
24;0;V;31.0;33.0;0.9393939393939394
25;0;W;24.0;27.0;0.8888888888888888
26;0;X;22.0;27.0;0.8148148148148148
27;0;Z;16.0;22.0;0.7272727272727273
28;1;1;20.0;31.0;0.6451612903225806
29;1;2;12.0;22.0;0.5454545454545454
30;1;3;22.0;25.0;0.88
31;1;4;16.0;24.0;0.6666666666666666
32;1;5;31.0;34.0;0.9117647058823529
33;1;6;18.0;23.0;0.782608695652174
34;1;7;20.0;25.0;0.8
35;1;8;19.0;23.0;0.8260869565217391
36;1;9;15.0;20.0;0.75
37;1;B;34.0;41.0;0.8292682926829268
38;1;C;31.0;37.0;0.8378378378378378
39;1;D;18.0;23.0;0.782608695652174
40;1;F;19.0;27.0;0.7037037037037037
41;1;G;32.0;39.0;0.8205128205128205
42;1;H;17.0;28.0;0.6071428571428571
43;1;J;24.0;31.0;0.7741935483870968
44;1;K;22.0;33.0;0.6666666666666666
45;1;L;21.0;23.0;0.9130434782608695
46;1;M;21.0;27.0;0.7777777777777778
47;1;N;30.0;32.0;0.9375
48;1;P;27.0;29.0;0.9310344827586207
49;1;R;18.0;22.0;0.8181818181818182
50;1;S;22.0;29.0;0.7586206896551724
